Respondent_ID,C1,C2,C3,C4,C5,C6,C7,A1,A2,A3,A4,A5,A6,A7,HHR1,HHR2,HHR3,HHR4,HRR1,HRR2,HRR3,HRR4
ID_1,4,4,3,3,4,2,5,4,3,4,1,2,2,3,4,1,1,2,3,4,4,3
ID_2,5,4,1,1,5,1,4,1,2,3,4,5,4,1,4,3,3,1,4,4,4,4
ID_3,4,5,2,1,3,2,3,2,4,4,4,2,3,3,2,2,3,2,2,4,3,3
ID_4,3,4,1,2,3,2,3,2,4,4,2,4,2,1,2,1,2,2,2,4,4,2
ID_5,4,4,4,2,4,1,5,2,2,3,4,3,4,3,4,3,2,1,4,4,4,4
ID_6,5,4,2,2,4,2,4,2,4,4,2,3,4,2,2,2,2,2,1,4,5,2
ID_7,5,4,2,2,4,2,4,2,2,2,1,5,4,4,3,3,2,1,2,4,5,5
ID_8,5,4,2,1,4,1,2,2,2,2,1,5,4,1,2,1,2,1,2,4,5,4
ID_9,5,5,2,2,4,2,3,2,3,3,2,4,4,2,4,2,4,2,2,4,3,1
ID_10,4,4,2,3,4,2,4,3,2,3,2,3,5,4,3,3,3,3,4,4,4,4
ID_11,5,5,1,1,4,3,3,1,3,3,4,4,4,3,4,1,2,1,4,4,5,2
ID_12,5,5,1,1,5,1,4,4,2,4,1,4,5,5,2,3,1,1,5,5,5,5
ID_13,4,4,2,2,4,2,3,2,2,3,2,3,2,4,2,1,3,2,3,2,4,2
ID_14,5,5,1,1,5,1,5,2,3,4,1,3,3,2,5,1,1,1,2,5,4,4
ID_15,5,4,1,1,3,1,3,1,1,2,1,3,3,3,3,1,3,1,1,3,3,4
ID_16,4,5,2,2,3,2,4,2,2,3,4,3,3,4,4,1,4,2,4,4,5,4
ID_17,4,4,2,2,3,4,4,1,2,4,3,3,3,2,1,2,4,3,2,4,4,4
ID_18,4,4,2,2,4,3,4,3,2,2,4,5,4,4,4,3,2,2,4,4,4,2
ID_19,4,4,1,2,4,3,4,2,3,4,2,3,4,3,3,3,3,1,3,4,5,2
ID_20,4,5,3,3,5,2,5,3,3,5,2,4,4,3,2,1,2,2,3,5,5,4
ID_21,3,5,3,2,4,2,3,2,3,2,1,3,4,2,3,2,5,2,2,4,3,2
ID_22,4,4,2,2,2,3,4,3,2,3,1,3,3,2,3,2,4,2,3,4,2,3
ID_23,3,4,2,2,4,4,4,2,4,4,4,3,3,4,4,4,3,2,4,4,4,4
ID_24,5,5,1,1,4,1,4,1,1,1,1,5,3,1,1,2,1,1,3,4,4,2
ID_25,4,4,2,2,3,2,3,4,2,2,2,4,4,3,2,2,2,2,3,4,4,3
ID_26,5,4,1,2,2,2,3,2,4,4,1,2,3,4,3,2,4,2,1,2,4,4
ID_27,5,5,1,1,5,1,4,2,2,2,1,3,4,3,3,3,2,1,4,5,5,4
ID_28,5,5,2,2,3,2,5,4,3,5,2,5,5,4,1,3,2,2,3,4,5,4
ID_29,4,5,2,1,3,1,4,1,2,4,2,3,2,3,3,1,2,2,2,4,4,4
ID_30,5,4,1,2,2,4,2,3,4,4,1,1,2,1,1,2,5,4,3,2,2,4
ID_31,5,5,1,1,5,1,5,1,1,4,1,4,4,2,4,3,1,1,3,4,5,2
ID_32,5,5,1,1,5,1,3,1,1,1,4,5,4,5,3,3,3,1,3,5,5,5
