Factor,Item,Std_Loading,SE,Z,p_value,CI_lower,CI_upper,Model,Sig
Competence,C1,0.6335,0.0535,11.8452,0,0.5286,0.7383,Model 5: Correlated Four-Factor,***
Competence,C2,0.4337,0.067,6.4695,0,0.3023,0.5651,Model 5: Correlated Four-Factor,***
Competence,C3,0.4931,0.0582,8.4712,0,0.379,0.6072,Model 5: Correlated Four-Factor,***
Competence,C4,0.7033,0.0482,14.5875,0,0.6088,0.7978,Model 5: Correlated Four-Factor,***
Competence,C5,0.7105,0.0494,14.3839,0,0.6137,0.8074,Model 5: Correlated Four-Factor,***
Competence,C6,0.696,0.0445,15.653,0,0.6089,0.7832,Model 5: Correlated Four-Factor,***
Competence,C7,0.5579,0.0518,10.7639,0,0.4563,0.6595,Model 5: Correlated Four-Factor,***
Autonomy,A1,0.5781,0.0615,9.4056,0,0.4577,0.6986,Model 5: Correlated Four-Factor,***
Autonomy,A2,0.6917,0.048,14.4132,0,0.5976,0.7857,Model 5: Correlated Four-Factor,***
Autonomy,A3,0.5052,0.0586,8.6275,0,0.3905,0.62,Model 5: Correlated Four-Factor,***
Autonomy,A5,0.4976,0.0605,8.2293,0,0.3791,0.6162,Model 5: Correlated Four-Factor,***
Autonomy,A6,0.4968,0.0601,8.2647,0,0.379,0.6146,Model 5: Correlated Four-Factor,***
Autonomy,A7,0.4092,0.0712,5.7461,0,0.2696,0.5487,Model 5: Correlated Four-Factor,***
HHR,HHR1,0.4448,0.0666,6.6801,0,0.3143,0.5753,Model 5: Correlated Four-Factor,***
HHR,HHR2,0.3218,0.0659,4.8837,0,0.1926,0.4509,Model 5: Correlated Four-Factor,***
HHR,HHR3,0.5501,0.0615,8.9507,0,0.4297,0.6706,Model 5: Correlated Four-Factor,***
HHR,HHR4,0.7533,0.0573,13.1484,0,0.641,0.8656,Model 5: Correlated Four-Factor,***
HRR,HRR1,0.5957,0.0749,7.952,0,0.4489,0.7426,Model 5: Correlated Four-Factor,***
HRR,HRR2,0.7447,0.1059,7.0344,0,0.5372,0.9522,Model 5: Correlated Four-Factor,***
HRR,HRR4,0.3375,0.0884,3.8161,1e-4,0.1642,0.5108,Model 5: Correlated Four-Factor,***
