Factor,Observed_EV,Random_Mean_EV,Random_95pct_EV,Retained_PA
1,4.8364,1.6349,1.7502,True
2,2.1407,1.5127,1.5958,True
3,1.3535,1.4225,1.4896,False
4,1.2279,1.3465,1.4059,False
5,1.112,1.278,1.3314,False
6,1.0654,1.2144,1.2635,False
7,0.924,1.154,1.204,False
8,0.8844,1.0985,1.1466,False
9,0.8549,1.0444,1.0877,False
10,0.7653,0.9927,1.0353,False
11,0.6692,0.9444,0.9866,False
12,0.642,0.8955,0.9379,False
13,0.6011,0.8482,0.8904,False
14,0.5596,0.8026,0.8424,False
15,0.4922,0.7558,0.7956,False
16,0.4448,0.7104,0.7523,False
17,0.427,0.6645,0.7075,False
18,0.4001,0.6155,0.6573,False
19,0.3379,0.5635,0.6113,False
20,0.2616,0.5008,0.5517,False
