Item,KMO,Interpretation
C1,0.8504528242388835,Meritorious
C2,0.8794298619346318,Meritorious
C3,0.8139043523067192,Meritorious
C4,0.8507824928428961,Meritorious
C5,0.8363564531947577,Meritorious
C6,0.7890089658741312,Middling
C7,0.8109354546714561,Meritorious
A1,0.8348628389151898,Meritorious
A2,0.7308350840697292,Middling
A3,0.6248151023927643,Mediocre
A5,0.8634723589889849,Meritorious
A6,0.7871338957089415,Middling
A7,0.7336735530949325,Middling
HHR1,0.7339519076489105,Middling
HHR2,0.6427709314605925,Mediocre
HHR3,0.7832604534701954,Middling
HHR4,0.8147834323278544,Meritorious
HRR1,0.6987078830607562,Mediocre
HRR2,0.8297117070339,Meritorious
HRR4,0.7459511809635097,Middling
