,F1,F2,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.572,,0.33328802061115853,F1,0.5718961148161779,False,False
C2,0.326,,0.14266095229988893,F1,0.3258145071752676,False,False
C3,0.622,,0.4661712312076277,F1,0.6224775526482731,False,False
C4,0.703,,0.49621238085487046,F1,0.702944292515852,False,False
C5,0.489,0.362,0.37045360825737544,F1,0.48943975908727655,True,False
C6,0.746,,0.5622327550160371,F1,0.7460409552050569,False,False
C7,0.365,0.414,0.30415632379524793,F2,0.4136656785570123,True,False
A1,0.588,,0.34548612797385,F1,0.5875538930948472,False,False
A2,0.495,,0.31437706123736225,F1,0.4951854910634585,False,False
A3,0.438,,0.19327663298077558,F1,0.43812366077808557,False,False
A5,0.378,,0.20388604527063162,F1,0.3776063998656481,False,False
A6,,0.338,0.2037310806598107,F2,0.3380570770705432,False,False
A7,,0.631,0.39883860296990975,F2,0.6312500588661762,False,False
HHR1,,0.464,0.24037096739804606,F2,0.46409618722771334,False,False
HHR2,,0.668,0.4638929466827161,F2,0.6679976893210846,False,False
HHR3,0.531,,0.28279455866118375,F1,0.5308993576343533,False,False
HHR4,0.643,,0.4141495458586111,F1,0.6430753539206265,False,False
HRR1,,0.638,0.4078893137826481,F2,0.638468806181822,False,False
HRR2,,0.552,0.3186192409255256,F2,0.55166650340425,False,False
HRR4,,0.545,0.31109947298870505,F2,0.5452659250782719,False,False
