,F1,F2,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.5719,0.0789,0.3333,F1,0.5719,False,False
C2,0.3258,0.1911,0.1427,F1,0.3258,False,False
C3,0.6225,-0.2805,0.4662,F1,0.6225,False,False
C4,0.7029,-0.0456,0.4962,F1,0.7029,False,False
C5,0.4894,0.3618,0.3705,F1,0.4894,True,False
C6,0.746,-0.0752,0.5622,F1,0.746,False,False
C7,0.3647,0.4137,0.3042,F2,0.4137,True,False
A1,0.5876,0.0163,0.3455,F1,0.5876,False,False
A2,0.4952,0.263,0.3144,F1,0.4952,False,False
A3,0.4381,0.0364,0.1933,F1,0.4381,False,False
A5,0.3776,0.2476,0.2039,F1,0.3776,False,False
A6,0.2991,0.3381,0.2037,F2,0.3381,False,False
A7,-0.019,0.6313,0.3988,F2,0.6313,False,False
HHR1,0.1581,0.4641,0.2404,F2,0.4641,False,False
HHR2,-0.1329,0.668,0.4639,F2,0.668,False,False
HHR3,0.5309,-0.0307,0.2828,F1,0.5309,False,False
HHR4,0.6431,0.0246,0.4141,F1,0.6431,False,False
HRR1,-0.0157,0.6385,0.4079,F2,0.6385,False,False
HRR2,0.1195,0.5517,0.3186,F2,0.5517,False,False
HRR4,-0.1174,0.5453,0.3111,F2,0.5453,False,False
