Item,Communality,Primary_Factor,Cross_loading,Low_Communality,Below_threshold
C1,0.4597,F1,False,False,False
C2,0.3952,F1,False,False,False
C3,0.4995,F1,False,False,False
C4,0.4382,F1,False,False,False
C5,0.3221,F3,True,False,False
C6,0.4561,F3,True,False,False
C7,0.276,F2,False,True,False
A1,0.4301,F1,False,False,False
A2,0.5376,F3,False,False,False
A3,0.3971,F3,False,False,False
A5,0.1978,F1,False,True,False
A6,0.1984,F2,False,True,False
A7,0.5154,F2,False,False,False
HHR1,0.2369,F2,False,True,False
HHR2,0.4956,F2,False,False,False
HHR3,0.5511,F3,False,False,False
HHR4,0.3477,F3,False,False,False
HRR1,0.4066,F2,False,False,False
HRR2,0.3147,F2,False,False,False
HRR4,0.321,F2,False,False,False
