,F1,F2,F3,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.668,,,0.45968102110222825,F1,0.6679548063782734,False,False
C2,0.551,,,0.395201226794962,F1,0.5508336496748975,False,False
C3,0.659,,,0.4995019508159441,F1,0.6589152838306601,False,False
C4,0.628,,,0.4382180535136005,F1,0.6278515658599971,False,False
C5,,0.349,0.377,0.3221313611764619,F3,0.3765874224413341,True,False
C6,0.366,,0.56,0.45611453643472033,F3,0.5598456532182261,True,False
C7,,0.404,,0.2759728155828385,F2,0.4036316819867423,False,False
A1,0.653,,,0.43009471639115965,F1,0.6531902187518965,False,False
A2,,,0.701,0.5375690841213752,F3,0.700514611002501,False,False
A3,,,0.628,0.3970873199467662,F3,0.6282774525547333,False,False
A5,0.344,,,0.19784298202860096,F1,0.34429674162331436,False,False
A6,,0.345,,0.1983919840571254,F2,0.3450881432793433,False,False
A7,,0.656,,0.5153954661805435,F2,0.6558773644480055,False,False
HHR1,,0.464,,0.2369495122518723,F2,0.46425062601821643,False,False
HHR2,,0.644,,0.49561856634894985,F2,0.6438741504812805,False,False
HHR3,,,0.737,0.5511443536653701,F3,0.7367880974996701,False,False
HHR4,,,0.513,0.34774011592344284,F3,0.5128940419009766,False,False
HRR1,,0.638,,0.4065801252154394,F2,0.6376270615406845,False,False
HRR2,,0.549,,0.3147014966661946,F2,0.549229995402026,False,False
HRR4,,0.529,,0.3210460607377093,F2,0.5289698851434896,False,False
