,F1,F2,F3,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.668,0.1161,-0.0052,0.4597,F1,0.668,False,False
C2,0.5508,0.2345,-0.1918,0.3952,F1,0.5508,False,False
C3,0.6589,-0.2481,0.0616,0.4995,F1,0.6589,False,False
C4,0.6279,-0.025,0.2083,0.4382,F1,0.6279,False,False
C5,0.2422,0.3488,0.3766,0.3221,F3,0.3766,True,False
C6,0.3662,-0.0928,0.5598,0.4561,F3,0.5598,True,False
C7,0.1825,0.4036,0.2824,0.276,F2,0.4036,False,False
A1,0.6532,0.05,0.0306,0.4301,F1,0.6532,False,False
A2,-0.04,0.2127,0.7005,0.5376,F3,0.7005,False,False
A3,-0.0477,-0.009,0.6283,0.3971,F3,0.6283,False,False
A5,0.3443,0.2586,0.1114,0.1978,F1,0.3443,False,False
A6,0.2615,0.3451,0.1046,0.1984,F2,0.3451,False,False
A7,0.1895,0.6559,-0.2221,0.5154,F2,0.6559,False,False
HHR1,0.1199,0.4643,0.0839,0.2369,F2,0.4643,False,False
HHR2,-0.2529,0.6439,0.1306,0.4956,F2,0.6439,False,False
HHR3,-0.0379,-0.0828,0.7368,0.5511,F3,0.7368,False,False
HHR4,0.2909,0.0059,0.5129,0.3477,F3,0.5129,False,False
HRR1,0.0003,0.6376,-0.0034,0.4066,F2,0.6376,False,False
HRR2,0.0775,0.5492,0.0839,0.3147,F2,0.5492,False,False
HRR4,-0.1888,0.529,0.0748,0.321,F2,0.529,False,False
