,F1,F2,F3,F4,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.668,,,,0.4563610581258586,F1,0.6676188423423419,False,False
C2,0.56,,,,0.3831433987466892,F1,0.5596038608325843,False,False
C3,0.628,,,,0.4801941091506673,F1,0.6276673896977244,False,False
C4,0.625,,,,0.4413391208219492,F1,0.625305089074609,False,False
C5,,0.309,0.514,,0.39213937889063205,F3,0.51412420525845,True,False
C6,,,0.599,,0.4788180278466525,F3,0.598855472995899,False,False
C7,,0.368,0.572,,0.5020111319346757,F3,0.5715695015922928,True,False
A1,0.649,,,,0.4264142329617889,F1,0.6485993452272951,False,False
A2,,,,0.689,0.567835583086123,F4,0.6894653406388277,False,False
A3,,,,0.86,0.744014007332039,F4,0.8596933219394689,False,False
A5,0.38,,,,0.262266049416253,F1,0.3801658011928627,False,False
A6,,0.327,,,0.22625525263381263,F2,0.3268559868838083,False,False
A7,,0.653,,,0.515246427657839,F2,0.653320077344434,False,False
HHR1,,0.448,,,0.23429836287419167,F2,0.4476714747205152,False,False
HHR2,,0.634,,0.321,0.5457150949037515,F2,0.6337756432283816,True,False
HHR3,,,0.725,,0.6013713860279939,F3,0.7251433003577076,False,False
HHR4,,,0.624,,0.4346829132201818,F3,0.624277655895309,False,False
HRR1,,0.626,,,0.3978175338110544,F2,0.6264304138386405,False,False
HRR2,,0.527,0.312,,0.39981715589776773,F2,0.5274016256898497,True,False
HRR4,,0.515,,,0.4195687132268538,F2,0.5146103412784618,False,False
