,F1,F2,F3,F4,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,0.6676,0.0979,0.0206,0.0253,0.4564,F1,0.6676,False,False
C2,0.5596,0.2277,-0.1177,-0.0653,0.3831,F1,0.5596,False,False
C3,0.6277,-0.2642,0.1229,-0.0363,0.4802,F1,0.6277,False,False
C4,0.6253,-0.0519,0.131,0.1745,0.4413,F1,0.6253,False,False
C5,0.18,0.3086,0.5141,0.0145,0.3921,F3,0.5141,True,False
C6,0.2869,-0.1397,0.5989,0.1356,0.4788,F3,0.5989,False,False
C7,0.0967,0.368,0.5716,-0.1748,0.502,F3,0.5716,True,False
A1,0.6486,0.0323,0.0683,0.0044,0.4264,F1,0.6486,False,False
A2,0.0093,0.171,0.2513,0.6895,0.5678,F4,0.6895,False,False
A3,0.0535,-0.0374,-0.026,0.8597,0.744,F4,0.8597,False,False
A5,0.3802,0.2408,-0.0378,0.2415,0.2623,F1,0.3802,False,False
A6,0.2884,0.3269,0.0067,0.1902,0.2263,F2,0.3269,False,False
A7,0.2312,0.6533,-0.1866,-0.0123,0.5152,F2,0.6533,False,False
HHR1,0.1364,0.4477,0.06,0.1081,0.2343,F2,0.4477,False,False
HHR2,-0.1825,0.6338,-0.088,0.3209,0.5457,F2,0.6338,True,False
HHR3,-0.1207,-0.1305,0.7251,0.2096,0.6014,F3,0.7251,False,False
HHR4,0.2013,-0.0393,0.6243,0.0539,0.4347,F3,0.6243,False,False
HRR1,0.0277,0.6264,-0.0024,0.068,0.3978,F2,0.6264,False,False
HRR2,0.0332,0.5274,0.312,-0.1523,0.3998,F2,0.5274,True,False
HRR4,-0.2297,0.5146,0.2824,-0.1491,0.4196,F2,0.5146,False,False
