,F1,F2,F3,F4,F5,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,,,0.728,,,0.5368499327480344,F3,0.7281587621657102,False,False
C2,,,0.667,,,0.526969540465296,F3,0.6668092607684908,False,False
C3,,,0.609,,,0.46717362460051765,F3,0.609111013210026,False,False
C4,,,0.698,,,0.5386098314760258,F3,0.6979974176890192,False,False
C5,0.51,,,,,0.37569949313810713,F1,0.51010369994586,False,False
C6,0.67,,,,,0.5431140664504198,F1,0.6703645407266577,False,False
C7,0.589,,,,,0.5159453605766844,F1,0.5885334748837238,False,False
A1,,,0.566,,,0.394311702539982,F3,0.5662130840777825,False,False
A2,,,,0.703,,0.5829719633809403,F4,0.7033241499198749,False,False
A3,,,,0.852,,0.7366934098277614,F4,0.851836019118425,False,False
A5,,,,,0.41,0.2769298581194367,F5,0.4095059906698902,False,False
A6,,,,,0.716,0.6233233168217086,F5,0.7160019220713112,False,False
A7,,,,,0.749,0.5890460739357226,F5,0.7491856927151543,False,False
HHR1,,0.331,,,,0.2128595809215727,F2,0.33130057225794873,False,False
HHR2,,0.604,,0.362,,0.5677907726229614,F2,0.6041106800774467,True,False
HHR3,0.72,,,,,0.6132134022932156,F1,0.7200216935869569,False,False
HHR4,0.637,,,,,0.43974834854472694,F1,0.6368017318683629,False,False
HRR1,,,,,0.524,0.36514538740940344,F5,0.5239348416309686,False,False
HRR2,,0.382,,,0.32,0.3552932213343359,F2,0.38163558074867016,True,False
HRR4,,0.772,,,,0.6335607868079322,F2,0.7715071965198065,False,False
