,F1,F2,F3,F4,F5,Communality,Primary_Factor,Max_Loading,Cross_loading,Below_threshold
C1,-0.0161,0.0686,0.7282,0.0306,0.0272,0.5368,F3,0.7282,False,False
C2,-0.1777,0.2152,0.6668,-0.0521,0.0413,0.527,F3,0.6668,False,False
C3,0.1423,-0.2486,0.6091,-0.0549,-0.1052,0.4672,F3,0.6091,False,False
C4,0.0978,0.0059,0.698,0.1774,-0.1016,0.5386,F3,0.698,False,False
C5,0.5101,0.2233,0.1608,0.0112,0.1991,0.3757,F1,0.5101,False,False
C6,0.6704,-0.2315,0.1488,0.1026,0.0864,0.5431,F1,0.6704,False,False
C7,0.5885,0.2304,0.0333,-0.1852,0.2848,0.5159,F1,0.5885,False,False
A1,0.1096,-0.1578,0.5662,-0.0266,0.19,0.3943,F3,0.5662,False,False
A2,0.2189,0.1898,0.063,0.7033,0.02,0.583,F4,0.7033,False,False
A3,-0.0139,-0.0945,0.0376,0.8518,0.0229,0.7367,F4,0.8518,False,False
A5,0.0255,-0.1026,0.2387,0.2027,0.4095,0.2769,F5,0.4095,False,False
A6,0.1493,-0.2697,-0.0276,0.1219,0.716,0.6233,F5,0.716,False,False
A7,-0.1157,0.1005,0.0396,-0.0522,0.7492,0.589,F5,0.7492,False,False
HHR1,0.0214,0.3313,0.1784,0.1193,0.2379,0.2129,F2,0.3313,False,False
HHR2,-0.1849,0.6041,-0.0346,0.3623,0.1903,0.5678,F2,0.6041,True,False
HHR3,0.72,0.0534,-0.1025,0.2163,-0.1861,0.6132,F1,0.72,False,False
HHR4,0.6368,0.0072,0.1763,0.0469,-0.0298,0.4397,F1,0.6368,False,False
HRR1,0.0152,0.2921,-0.0479,0.0529,0.5239,0.3651,F5,0.5239,False,False
HRR2,0.2912,0.3816,0.0305,-0.1465,0.3201,0.3553,F2,0.3816,True,False
HRR4,0.1324,0.7715,0.0356,-0.0841,-0.1116,0.6336,F2,0.7715,False,False
