C1_ID,C1,C2_ID,C2,C3_ID,C3,C4_ID,C4,C5_ID,C5,C6_ID,C6,C7_ID,C7,A1_ID,A1,A2_ID,A2,A3_ID,A3,A4_ID,A4,A5_ID,A5,A6_ID,A6,A7_ID,A7,HHR1_ID,HHR1,HHR2_ID,HHR2,HHR3_ID,HHR3,HHR4_ID,HHR4,HRR1_ID,HRR1,HRR2_ID,HRR2,HRR3_ID,HRR3,HRR4_ID,HRR4
ID_127,1,ID_40,2,ID_5,2,ID_44,2,ID_127,1,ID_2,5,ID_82,1,ID_53,1,ID_55,1,,,ID_62,1,ID_30,1,ID_50,1,,,ID_14,5,ID_53,5,,,ID_30,2,,,ID_33,1,ID_33,1,,
ID_159,2,ID_72,2,ID_49,2,ID_61,2,ID_174,1,ID_5,5,ID_108,1,ID_82,1,ID_74,1,,,ID_98,1,ID_54,1,ID_114,1,,,ID_57,5,ID_146,5,,,ID_35,2,,,ID_73,1,ID_91,1,,
ID_173,2,ID_84,2,ID_59,2,ID_82,1,,,ID_8,5,ID_127,1,ID_108,1,ID_106,1,,,ID_178,1,ID_67,1,ID_141,1,,,ID_100,5,ID_148,5,,,ID_49,1,,,ID_74,1,ID_92,1,,
,,ID_120,2,ID_82,2,ID_115,1,,,ID_11,3,ID_174,1,ID_173,1,ID_114,1,,,,,ID_82,1,ID_178,1,,,ID_109,5,ID_150,5,,,ID_64,2,,,ID_78,1,ID_97,1,,
,,ID_188,2,ID_92,1,ID_120,2,,,ID_12,5,,,,,ID_159,1,,,,,ID_106,1,,,,,ID_167,5,ID_174,5,,,ID_82,1,,,ID_170,1,ID_106,1,,
,,,,ID_108,1,ID_159,2,,,ID_14,5,,,,,ID_182,1,,,,,ID_162,1,,,,,ID_179,5,,,,,ID_84,2,,,,,ID_127,1,,
,,,,ID_113,2,ID_188,2,,,ID_15,5,,,,,ID_185,1,,,,,,,,,,,,,,,,,ID_87,2,,,,,ID_129,1,,
,,,,ID_165,2,,,,,ID_17,2,,,,,,,,,,,,,,,,,,,,,,,ID_98,2,,,,,ID_140,1,,
,,,,ID_188,2,,,,,ID_18,3,,,,,,,,,,,,,,,,,,,,,,,ID_120,2,,,,,ID_162,1,,
,,,,,,,,,,ID_19,3,,,,,,,,,,,,,,,,,,,,,,,ID_135,2,,,,,ID_177,1,,
,,,,,,,,,,ID_22,3,,,,,,,,,,,,,,,,,,,,,,,ID_152,2,,,,,,,,
,,,,,,,,,,ID_23,2,,,,,,,,,,,,,,,,,,,,,,,ID_159,2,,,,,,,,
,,,,,,,,,,ID_24,5,,,,,,,,,,,,,,,,,,,,,,,ID_170,2,,,,,,,,
,,,,,,,,,,ID_27,5,,,,,,,,,,,,,,,,,,,,,,,ID_172,2,,,,,,,,
,,,,,,,,,,ID_29,5,,,,,,,,,,,,,,,,,,,,,,,ID_178,1,,,,,,,,
,,,,,,,,,,ID_30,2,,,,,,,,,,,,,,,,,,,,,,,ID_182,2,,,,,,,,
,,,,,,,,,,ID_31,5,,,,,,,,,,,,,,,,,,,,,,,ID_188,2,,,,,,,,
,,,,,,,,,,ID_32,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_33,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_35,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_40,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_45,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_46,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_49,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_53,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_56,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_62,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_63,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_64,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_67,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_70,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_74,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_78,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_79,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_80,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_82,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_86,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_87,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_91,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_93,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_94,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_97,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_105,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_106,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_110,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_113,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_114,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_119,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_120,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_124,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_125,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_127,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_129,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_133,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_134,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_139,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_140,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_141,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_145,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_146,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_148,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_150,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_153,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_155,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_157,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_158,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_159,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_160,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_162,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ID_164,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
