Factor,Item,Pearson_r,Pearson_p,Spearman_r,Spearman_p,Difference,Discrimination
Competence,C1,0.5094700650713015,1.1180951503943457e-13,0.5039081631337299,2.2701308229203123e-13,0.005561901937571667,Good
Competence,C2,0.3221411169020991,7.328531798106139e-06,0.2937296949735845,4.720362439580509e-05,0.028411421928514646,Poor
Competence,C3,0.38744925030680777,4.6711492620843405e-08,0.3773650057088891,1.0992428930415625e-07,0.010084244597918679,Good
Competence,C4,0.5088675354027741,1.2080046351659835e-13,0.48003753971872976,4.118142710571485e-12,0.02882999568404432,Good
Competence,C5,0.5142613320832369,6.011878112700655e-14,0.500194026537963,3.6170979847290243e-13,0.014067305545273912,Good
Competence,C6,0.49993241071915806,3.736960666986821e-13,0.5523610079325566,3.0078104206628885e-16,0.05242859721339854,Good
Competence,C7,0.4048613072752598,9.944696007408423e-09,0.33501429744175987,2.954424077560068e-06,0.06984700983349995,Good
Autonomy,A1,0.34004141823247835,2.048760203201597e-06,0.33221593140817574,3.612161022963382e-06,0.007825486824302619,Good
Autonomy,A2,0.41025208714433015,6.0483581047486534e-09,0.38808616355702397,4.421061941162933e-08,0.02216592358730618,Good
Autonomy,A3,0.3534641989574358,7.467250921086328e-07,0.349729115467869,9.935228242971304e-07,0.003735083489566804,Good
Autonomy,A4,0.030107836438498237,0.683317312306768,0.05087534876846703,0.490435339991783,0.02076751232996879,Poor
Autonomy,A5,0.39050065695224107,3.584865089760824e-08,0.38714543282331026,4.795183239775452e-08,0.0033552241289308005,Good
Autonomy,A6,0.39805195830968876,1.8405429509005067e-08,0.4195248359299089,2.5183210781620116e-09,0.021472877620220154,Good
Autonomy,A7,0.20006987016868027,0.006182669069685456,0.21241471296207712,0.003606063073865877,0.012344842793396843,Poor
HH-Relatedness,HHR1,0.32780594447147293,4.938609431554729e-06,0.33566688953092555,2.818331326091088e-06,0.007860945059452618,Good
HH-Relatedness,HHR2,0.2230055479301417,0.0022169929745044017,0.2552059066884563,0.0004389676527605096,0.03220035875831456,Poor
HH-Relatedness,HHR3,0.2658941652516283,0.0002443399603103042,0.2398923080159108,0.0009740016315466324,0.02600185723571749,Poor
HH-Relatedness,HHR4,0.37569835664848944,1.2627603102334353e-07,0.35382471000592136,7.262835546152914e-07,0.02187364664256808,Good
HR-Relatedness,HRR1,0.3627382370983271,3.616492560823621e-07,0.34353009138887114,1.5831258595717136e-06,0.019208145709455948,Good
HR-Relatedness,HRR2,0.38793825148338473,4.477966261442005e-08,0.3983400554652889,1.7937249658407323e-08,0.010401803981904156,Good
HR-Relatedness,HRR3,0.3831445782101629,6.754800993306608e-08,0.3682559581384133,2.3236996210734878e-07,0.014888620071749625,Good
HR-Relatedness,HRR4,0.3868291641772662,4.9276616272529306e-08,0.3770524806582864,1.1282698742616434e-07,0.009776683518979812,Good
