,C1,C2,C3,C4,C5,C6,C7,A1,A2,A3,A4,A5,A6,A7,HHR1,HHR2,HHR3,HHR4,HRR1,HRR2,HRR3,HRR4
C1,1.0,0.33166536808769603,0.32218481094183354,0.44076737246952097,0.3733891778960732,0.2973576424153767,0.1916889628054982,0.3389515944220784,0.253448268128412,0.15927300725764884,0.20398114010627402,0.22981163567320254,0.1921082941521847,0.14347741417493806,0.13580387143479034,0.07968477172549453,0.12428533273356618,0.2879303305607321,0.14676388510083968,0.11232642050539672,0.1019012642612343,0.07799414363746275
C2,0.33166536808769603,1.0,0.16238033510965907,0.27485536441733777,0.23817622735033042,0.12995164359368988,0.16660888208063995,0.2149477505249429,0.15035427226876494,0.09018448006084204,0.10946539941600321,0.1644483319334244,0.15005487838588383,0.13666494382781122,0.21136695399833866,0.09786654601526405,0.048212802558388064,0.17747272110982684,0.10099509137763792,0.16504229658788064,0.12303048679037985,0.0731237443367834
C3,0.32218481094183354,0.16238033510965907,1.0,0.4515486791200529,0.12436900361706346,0.2920799912665124,0.16794708309809023,0.2797723014088681,0.12866597046097908,0.10603840323513951,0.15975073440917884,0.1640588374797413,0.1095780933155446,0.015786444209871613,0.015884631643386916,-0.0976238634938195,0.20962352852041652,0.2747048884709963,-0.00363876380675484,-0.022397615559738432,0.048310818051754766,-0.08190184149434396
C4,0.44076737246952097,0.27485536441733777,0.4515486791200529,1.0,0.23329362059940367,0.349282333546567,0.1970229139412173,0.40874373212517356,0.2935371959029347,0.2907108929025212,0.0587022278096774,0.27301910564523074,0.1494452621787946,0.09790566973164601,0.13477289049657087,0.04610406224504338,0.2822263986972178,0.36337415487841207,0.09109697908741352,0.17257916204840856,0.020618567349072907,0.07326022688568241
C5,0.3733891778960732,0.23817622735033042,0.12436900361706346,0.23329362059940367,1.0,0.4503021981113884,0.4699060053773413,0.29149356759531203,0.3273252829413472,0.16356952283598658,0.1317996728566854,0.2223229703797782,0.305035439152266,0.13312097436915593,0.31515380457539155,0.21316108344840284,0.27630273971734676,0.3446707416050854,0.2322695006348359,0.231669552571995,0.2685254991178503,0.17424761774229813
C6,0.2973576424153767,0.12995164359368988,0.2920799912665124,0.349282333546567,0.4503021981113884,1.0,0.33052044377725387,0.3528932019428874,0.41251919418742145,0.22640284625900578,0.20343986905324618,0.26449456370377156,0.27096945024913216,0.07425125904644207,0.12042265501435245,-0.10410122182644618,0.3609628924402622,0.5015130989555626,0.02974644743936173,0.12751312775839357,0.12869392571576477,-0.001926642614969024
C7,0.1916889628054982,0.16660888208063995,0.16794708309809023,0.1970229139412173,0.4699060053773413,0.33052044377725387,1.0,0.2664008292717747,0.31976555169759496,0.04022880601229617,0.13312746813953782,0.23650918439334734,0.23807469765439337,0.21401671170019293,0.1541805992997115,0.13829873830980036,0.25002984333183925,0.2616030364422001,0.27996493427480745,0.34316311120455956,0.2363728213599953,0.22305586667471433
A1,0.3389515944220784,0.2149477505249429,0.2797723014088681,0.40874373212517356,0.29149356759531203,0.3528932019428874,0.2664008292717747,1.0,0.23153722142167174,0.19676725631345524,0.10703319219087079,0.2662033075825745,0.1861197069105391,0.1265864023594957,0.24651455195930294,-0.06932853873926276,0.09391668578286641,0.23679796767583225,0.05820349685349734,0.208941640563818,0.032983244327736055,-0.011439626151772773
A2,0.253448268128412,0.15035427226876494,0.12866597046097908,0.2935371959029347,0.3273252829413472,0.41251919418742145,0.31976555169759496,0.23153722142167174,1.0,0.5419569792606677,-0.0030679344337231195,0.2572525184267859,0.14350023271335438,0.14078555340976726,0.219958982324322,0.26747664248273917,0.29910696766105904,0.24979098063261232,0.19328725286778856,0.17759668632456949,0.06565670035537027,0.12727545982273938
A3,0.15927300725764884,0.09018448006084204,0.10603840323513951,0.2907108929025212,0.16356952283598658,0.22640284625900578,0.04022880601229617,0.19676725631345524,0.5419569792606677,1.0,0.013926452289483396,0.18585565848978203,0.20747855267325488,0.0023717344437878844,0.0744156947822999,0.08636087117854209,0.23114303019886512,0.1774016973946526,0.1669478917759549,0.07970676188669586,-0.018539312718075608,-0.03053701802120039
A4,0.20398114010627402,0.10946539941600321,0.15975073440917884,0.0587022278096774,0.1317996728566854,0.20343986905324618,0.13312746813953782,0.10703319219087079,-0.0030679344337231195,0.013926452289483396,1.0,0.01858617095113305,0.154260703310228,-0.15489432566447758,-0.04471390512059665,-0.2667077603735463,0.0861469059144509,0.18993166850469093,-0.13719641545656525,0.06322843638869267,-0.0543893916587743,-0.12430181210116927
A5,0.22981163567320254,0.1644483319334244,0.1640588374797413,0.27301910564523074,0.2223229703797782,0.26449456370377156,0.23650918439334734,0.2662033075825745,0.2572525184267859,0.18585565848978203,0.01858617095113305,1.0,0.26698206820765624,0.25820044517567237,0.10589151153389911,0.19686800901115045,0.1342402284143734,0.18987780957684364,0.08791462500569343,0.19107202061800552,0.16643583786444674,0.06333381589212717
A6,0.1921082941521847,0.15005487838588383,0.1095780933155446,0.1494452621787946,0.305035439152266,0.27096945024913216,0.23807469765439337,0.1861197069105391,0.14350023271335438,0.20747855267325488,0.154260703310228,0.26698206820765624,1.0,0.316647127550175,0.24764243840313307,0.15814764610028498,0.15272785420956364,0.20195646900857664,0.21618216320786315,0.1597429720221199,0.14969438643663494,-0.023845901795192515
A7,0.14347741417493806,0.13666494382781122,0.015786444209871613,0.09790566973164601,0.13312097436915593,0.07425125904644207,0.21401671170019293,0.1265864023594957,0.14078555340976726,0.0023717344437878844,-0.15489432566447758,0.25820044517567237,0.316647127550175,1.0,0.1991474268773665,0.2650696551044083,0.006784940899096711,0.046890915897934426,0.4091503349570874,0.28181261383416956,0.28837502773296536,0.1662984858326001
