Item,N,Mean,SD,Median,Min,Max,Skewness,Kurtosis,Q1,Q3,IQR,Freq_1,Pct_1,Freq_2,Pct_2,Freq_3,Pct_3,Freq_4,Pct_4,Freq_5,Pct_5
C1,186,4.172043010752688,0.6916280192842063,4.0,1,5,-0.8293135802871593,1.9629196446630823,4.0,5.0,1.0,1,0.5376344086021505,2,1.075268817204301,19,10.21505376344086,106,56.98924731182796,58,31.182795698924732
C2,186,4.188172043010753,0.6592951949051296,4.0,2,5,-0.6739494051975914,1.1565234436911762,4.0,5.0,1.0,0,0.0,4,2.150537634408602,14,7.526881720430108,111,59.67741935483871,57,30.64516129032258
C3,186,4.139784946236559,0.8132869291815555,4.0,1,5,-1.046067148291975,1.6413155383137576,4.0,5.0,1.0,2,1.075268817204301,5,2.6881720430107525,23,12.365591397849462,91,48.924731182795696,65,34.946236559139784
C4,186,4.129032258064516,0.760167925283268,4.0,1,5,-1.107788890506106,2.494701981207358,4.0,5.0,1.0,2,1.075268817204301,4,2.150537634408602,19,10.21505376344086,104,55.913978494623656,57,30.64516129032258
C5,186,3.827956989247312,0.8268946259738297,4.0,1,5,-0.764649350454548,0.8416195145119132,3.0,4.0,1.0,2,1.075268817204301,11,5.913978494623656,37,19.892473118279568,103,55.376344086021504,33,17.741935483870968
C6,186,3.9193548387096775,0.9351696553137852,4.0,1,5,-1.0720074245722355,1.0680101335943313,4.0,4.75,0.75,4,2.150537634408602,15,8.064516129032258,20,10.75268817204301,100,53.763440860215056,47,25.268817204301076
C7,186,3.6129032258064515,0.9127594995932093,4.0,1,5,-0.5290131331671857,0.165747116729547,3.0,4.0,1.0,4,2.150537634408602,16,8.602150537634408,55,29.56989247311828,84,45.16129032258065,27,14.516129032258064
A1,186,3.78494623655914,1.0118162675387414,4.0,1,5,-0.753233197391996,-0.02780120776013284,3.0,4.0,1.0,4,2.150537634408602,22,11.827956989247312,29,15.591397849462366,86,46.236559139784944,45,24.193548387096776
A2,186,3.456989247311828,1.090885863622461,4.0,1,5,-0.3531167157159732,-0.7065758050046771,3.0,4.0,1.0,7,3.763440860215054,34,18.27956989247312,44,23.655913978494624,69,37.096774193548384,32,17.204301075268816
A3,186,2.903225806451613,1.0352126417314935,3.0,1,5,0.13546241531314693,-0.579184099166723,2.0,4.0,2.0,14,7.526881720430108,55,29.56989247311828,64,34.40860215053763,41,22.043010752688172,12,6.451612903225806
A4,186,3.9838709677419355,1.015958109647232,4.0,1,5,-0.8980910059793196,0.11929755157964728,4.0,5.0,1.0,3,1.6129032258064515,18,9.67741935483871,25,13.440860215053764,73,39.24731182795699,67,36.02150537634409
A5,186,3.5268817204301075,1.0249999113984125,4.0,1,5,-0.3745978220713169,-0.3768305648188677,3.0,4.0,1.0,6,3.225806451612903,23,12.365591397849462,57,30.64516129032258,67,36.02150537634409,33,17.741935483870968
A6,186,3.693548387096774,0.9685103023479623,4.0,1,5,-0.6807803919537084,0.037070899108961886,3.0,4.0,1.0,4,2.150537634408602,21,11.290322580645162,37,19.892473118279568,90,48.38709677419355,34,18.27956989247312
A7,186,2.9731182795698925,1.1362945740023995,3.0,1,5,-0.08028721896004416,-0.9018320497852446,2.0,4.0,2.0,20,10.75268817204301,48,25.806451612903224,49,26.344086021505376,55,29.56989247311828,14,7.526881720430108
HHR1,186,2.5913978494623655,1.0977772051794328,3.0,1,5,0.09823390648321376,-0.8270823095845388,2.0,3.0,1.0,37,19.892473118279568,48,25.806451612903224,61,32.795698924731184,34,18.27956989247312,6,3.225806451612903
HHR2,186,2.3763440860215055,1.074661263987954,2.0,1,5,0.3356532958523915,-0.657127129056533,1.25,3.0,1.75,47,25.268817204301076,55,29.56989247311828,56,30.107526881720432,23,12.365591397849462,5,2.6881720430107525
HHR3,186,3.1236559139784945,1.1346053343557925,3.0,1,5,-0.13247404698736218,-0.9249306178547916,2.0,4.0,2.0,14,7.526881720430108,48,25.806451612903224,44,23.655913978494624,61,32.795698924731184,19,10.21505376344086
HHR4,186,4.026881720430108,0.9266784374716301,4.0,1,5,-1.074882423272503,1.0333250608853897,4.0,5.0,1.0,3,1.6129032258064515,13,6.989247311827957,20,10.75268817204301,90,48.38709677419355,60,32.25806451612903
HRR1,186,2.870967741935484,1.1784167706886555,3.0,1,5,0.09222843881890086,-0.9464893628561084,2.0,4.0,2.0,24,12.903225806451612,54,29.032258064516128,46,24.731182795698924,46,24.731182795698924,16,8.602150537634408
HRR2,186,3.817204301075269,0.9636219574887103,4.0,1,5,-0.9731607809445165,0.7179784762271106,3.25,4.0,0.75,5,2.6881720430107525,17,9.13978494623656,25,13.440860215053764,99,53.225806451612904,40,21.50537634408602
HRR3,186,3.618279569892473,1.0902463135094267,4.0,1,5,-0.7312333426446677,-0.09259392502695452,3.0,4.0,1.0,10,5.376344086021505,21,11.290322580645162,36,19.35483870967742,82,44.086021505376344,37,19.892473118279568
HRR4,186,3.043010752688172,1.0645539961385546,3.0,1,5,-0.2743491559738245,-0.9088628419887543,2.0,4.0,2.0,15,8.064516129032258,48,25.806451612903224,45,24.193548387096776,70,37.634408602150536,8,4.301075268817204
